The Full list of ASCII characters for Java:

charaters can be created like this

//the 'a' character:
char c = 0b0110_0001; 	//base 2 (you can omit the '_' character... it's just for visibility)
char c = 0141; 			//base 8
char c = 97;			//base 10
char c = 0x61;			//base 16



ASCII control characters non printable :

BASE2			   BASE8		BASE10	  BASE16
0b0000_0000        0000          0        0x00         : character NULL ( Null character )
0b0000_0001        0001          1        0x01         : character = SOH ( Start of Header )
0b0000_0010        0002          2        0x02         : character = STX ( Start of Text )
0b0000_0011        0003          3        0x03         : character = ETX ( End of Text, hearts card suit )
0b0000_0100        0004          4        0x04         : character = EOT ( End of Transmission, diamonds card suit )
0b0000_0101        0005          5        0x05         : character = ENQ ( Enquiry, clubs card suit )
0b0000_0110        0006          6        0x06         : character = ACK ( Acknowledgement, spade card suit )
0b0000_0111        0007          7        0x07         : character = BEL ( Bell )
0b0000_1000        0010          8        0x08         : character = BS ( Backspace )
0b0000_1001        0011          9        0x09         : character   = HT ( Horizontal Tab )
0b0000_1010        0012         10        0x0a         : character   = LF ( Line feed )
0b0000_1011        0013         11        0x0b         : character = VT ( Vertical Tab, male symbol, symbol for Mars )
0b0000_1100        0014         12        0x0c         : character = FF ( Form feed, female symbol, symbol for Venus )
0b0000_1101        0015         13        0x0d         : character   = CR ( Carriage return )
0b0000_1110        0016         14        0x0e         : character = SO ( Shift Out )
0b0000_1111        0017         15        0x0f         : character = SI ( Shift In )
0b0001_0000        0020         16        0x10         : character = DLE ( Data link escape )
0b0001_0001        0021         17        0x11         : character = DC1 ( Device control 1 )
0b0001_0010        0022         18        0x12         : character = DC2 ( Device control 2 )
0b0001_0011        0023         19        0x13         : character = DC3 ( Device control 3 )
0b0001_0100        0024         20        0x14         : character = DC4 ( Device control 4 )
0b0001_0101        0025         21        0x15         : character = NAK ( NAK Negative-acknowledge )
0b0001_0110        0026         22        0x16         : character = SYN ( Synchronous idle )
0b0001_0111        0027         23        0x17         : character = ETB ( End of trans. block )
0b0001_1000        0030         24        0x18         : character = CAN ( Cancel )
0b0001_1001        0031         25        0x19         : character = EM ( End of medium )
0b0001_1010        0032         26        0x1a         : character = SUB ( Substitute )
0b0001_1011        0033         27        0x1b         : character = ESC ( Escape )
0b0001_1100        0034         28        0x1c         : character = FS ( File separator )
0b0001_1101        0035         29        0x1d         : character = GS ( Group separator )
0b0001_1110        0036         30        0x1e         : character = RS ( Record separator )
0b0001_1111        0037         31        0x1f         : character = US ( Unit separator )
0b0111_1111        0177        127        0x7f         : character = DEL ( Delete )

Printable ASCII characters : ( alphanumeric, symbols and signs )

0b0010_0000        0040         32        0x20         : character  = space ( Space )
0b0010_0001        0041         33        0x21         : character != ! ( Exclamation mark )
0b0010_0010        0042         34        0x22         : character "= " ( Double quotes ; Quotation mark ; speech marks )
0b0010_0011        0043         35        0x23         : character #= # ( Number sign )
0b0010_0100        0044         36        0x24         : character $= $ ( Dollar sign )
0b0010_0101        0045         37        0x25         : character %= % ( Percent sign )
0b0010_0110        0046         38        0x26         : character &= & ( Ampersand )
0b0010_0111        0047         39        0x27         : character '= ' ( Single quote or Apostrophe )
0b0010_1000        0050         40        0x28         : character (= ( ( round brackets or parentheses, opening round bracket )
